cart-db44db4b9-q54pf kb-w11
catalogue-f4f7886b-4b82k kb-w13
catalogue-f4f7886b-qnwbf kb-w41
catalogue-f4f7886b-t5drm kb-w12
catalogue-f4f7886b-txqdq kb-w31
dispatch-566f964cbd-xrsjf kb-w13
mongodb-6b45dd6dcc-rng5p kb-w14
mysql-7dd8588fb5-qz6fv kb-w21
payment-689b48b7d9-6785z kb-w22
rabbitmq-b4c48cb79-f9r9v kb-w42
ratings-6bbf8c588d-7qkhh kb-w24
ratings-6bbf8c588d-f2m86 kb-w34
redis-7fbd75b76d-krskv kb-w31
shipping-bd5b4b46f-cgfjz kb-w34
stream-2sglh kb-w24
stream-89b2s kb-w24
stream-8n7nz kb-w24
stream-h8m9q kb-w24
stream-t2hvj kb-w44
stream-txkrx kb-w24
user-69d787d68b-l8rmg kb-w33
web-6f7c94568-h49r4 kb-w41
