cycle,instructions,LLC-load-misses,hostname
2043275057,639415000,2812986,kb-w22
397826984,92648096,1194006,kb-w22
1415684795,806068060,1968275,kb-w22
808505260,366286769,1577104,kb-w22
1538089809,664828171,2233791,kb-w22
418382125,115894419,1016509,kb-w22
502587895,110359300,1193954,kb-w22
1267865519,303498737,1089861,kb-w22
1320457040,813015877,2265688,kb-w22
389375226,79764779,1071466,kb-w22
398669442,96036360,1074022,kb-w22
1021253451,1126913469,1507640,kb-w22
388198759,104402192,852287,kb-w22
342147779,77532172,907194,kb-w22
1007404259,673411619,2481947,kb-w22
351674427,72931003,1026028,kb-w22
267395649,74784174,884661,kb-w22
356844949,89802877,906705,kb-w22
417656365,170516567,919169,kb-w22
409721252,143798923,1004578,kb-w22
481739429,136989388,1025803,kb-w22
263347667,62876376,803471,kb-w22
273031777,59179645,896595,kb-w22
271080150,70719341,800665,kb-w22
847207494,362147370,1083881,kb-w22
408752899,107814681,873677,kb-w22
1341551141,780600026,1538562,kb-w22
855971547,277874268,1421630,kb-w22
636194156,1424481549,3927580,kb-w22
4193238510,3326361762,6755083,kb-w22
8566736239,6085415029,7783691,kb-w22
3813832917,2247877898,4733357,kb-w22
3820221376,2431573897,4880035,kb-w22
3737181458,2166048117,3788774,kb-w22
2706774680,1849276355,3395665,kb-w22
1715917249,1221342094,2785426,kb-w22
3097276933,2306719215,4662245,kb-w22
1832133254,876715802,2427025,kb-w22
1926061999,1104130046,2794644,kb-w22
3174505820,2121394214,3662759,kb-w22
1285581140,1038826287,2423041,kb-w22
744171736,208870147,1506685,kb-w22
610732441,193859495,1487750,kb-w22
1049606178,444831503,1828072,kb-w22
1343104085,703209408,2066541,kb-w22
1152368468,674541018,1781999,kb-w22
1230205713,620553860,2076143,kb-w22
2559590199,1246876315,3279745,kb-w22
1354622409,572290613,1996016,kb-w22
1094089205,620766965,1940006,kb-w22
2486218672,2223640733,1960410,kb-w22
371033176,80239155,1037332,kb-w22
465888087,240032891,1264009,kb-w22
377728407,83267555,1081336,kb-w22
392602638,74280499,1021409,kb-w22
667710028,331624610,1423573,kb-w22
441218056,121187255,1190865,kb-w22
547725817,108947547,1198253,kb-w22
1617959552,986135511,2274045,kb-w22
391297439,98407990,1137500,kb-w22
