"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",975,0,7,12,3,146,2581,3.26
"GET","/api/cart/add/anonymous-34306/R2D2/1",2,0,27,80,27,132,114,0.01
"GET","/api/cart/add/anonymous-34307/RD-10/1",1,0,130,134,134,134,115,0.00
"GET","/api/cart/add/anonymous-34307/ROB-1/1",1,0,180,181,181,181,184,0.00
"GET","/api/cart/add/anonymous-34308/HHGTTG/1",1,0,120,121,121,121,158,0.00
"GET","/api/cart/add/anonymous-34308/K9/1",1,0,98,98,98,98,92,0.00
"GET","/api/cart/add/anonymous-34309/R2D2/1",1,0,140,136,136,136,184,0.00
"GET","/api/cart/add/anonymous-34309/ROB-1/1",1,0,75,75,75,75,103,0.00
"GET","/api/cart/add/anonymous-34310/K9/1",2,0,76,82,76,88,92,0.01
"GET","/api/cart/add/anonymous-34311/HAL-1/1",1,0,24,24,24,24,102,0.00
"GET","/api/cart/add/anonymous-34311/HHGTTG/1",1,0,22,22,22,22,168,0.00
"GET","/api/cart/add/anonymous-34312/RD-10/1",1,0,480,480,480,480,115,0.00
"GET","/api/cart/add/anonymous-34312/ROB-1/1",1,0,69,69,69,69,184,0.00
"GET","/api/cart/add/anonymous-34313/EVE-1/1",1,0,36,36,36,36,178,0.00
"GET","/api/cart/add/anonymous-34313/STAN-1/1",1,0,55,55,55,55,110,0.00
"GET","/api/cart/add/anonymous-34314/C3P0/1",1,0,66,66,66,66,180,0.00
"GET","/api/cart/add/anonymous-34314/RD-10/1",1,0,33,33,33,33,115,0.00
"GET","/api/cart/add/anonymous-34315/K9/1",1,0,52,52,52,52,175,0.00
"GET","/api/cart/add/anonymous-34315/R2D2/1",1,0,83,83,83,83,115,0.00
"GET","/api/cart/add/anonymous-34316/C3P0/1",1,0,24,24,24,24,181,0.00
"GET","/api/cart/add/anonymous-34316/ROB-1/1",1,0,96,96,96,96,103,0.00
"GET","/api/cart/add/anonymous-34317/K9/1",1,0,310,310,310,310,163,0.00
"GET","/api/cart/add/anonymous-34317/ROB-1/1",1,0,30,30,30,30,103,0.00
"GET","/api/cart/add/anonymous-34318/EVE-1/1",1,0,30,30,30,30,113,0.00
"GET","/api/cart/add/anonymous-34318/R2D2/1",1,0,300,300,300,300,180,0.00
"GET","/api/cart/add/anonymous-34319/K9/1",1,0,30,30,30,30,92,0.00
"GET","/api/cart/add/anonymous-34319/RD-10/1",1,0,280,277,277,277,176,0.00
"GET","/api/cart/add/anonymous-34320/EVE-1/1",1,0,310,305,305,305,113,0.00
"GET","/api/cart/add/anonymous-34320/K9/1",1,0,79,79,79,79,173,0.00
"GET","/api/cart/add/anonymous-34321/R2D2/1",1,0,25,25,25,25,115,0.00
"GET","/api/cart/add/anonymous-34321/STAN-1/1",1,0,290,294,294,294,179,0.00
"GET","/api/cart/add/anonymous-34322/K9/1",1,0,240,236,236,236,176,0.00
"GET","/api/cart/add/anonymous-34322/RD-10/1",1,0,32,32,32,32,115,0.00
"GET","/api/cart/add/anonymous-34323/K9/1",2,0,31,44,31,56,92,0.01
"GET","/api/cart/add/anonymous-34324/C3P0/1",1,0,39,39,39,39,181,0.00
"GET","/api/cart/add/anonymous-34324/ROB-1/1",1,0,250,251,251,251,103,0.00
"GET","/api/cart/add/anonymous-34325/EVE-1/1",1,0,250,254,254,254,113,0.00
"GET","/api/cart/add/anonymous-34325/HAL-1/1",1,0,22,22,22,22,180,0.00
"GET","/api/cart/add/anonymous-34326/C3P0/1",1,0,260,261,261,261,112,0.00
"GET","/api/cart/add/anonymous-34326/STAN-1/1",1,0,110,112,112,112,161,0.00
"GET","/api/cart/add/anonymous-34327/K9/1",1,0,32,32,32,32,92,0.00
"GET","/api/cart/add/anonymous-34327/STAN-1/1",1,0,320,318,318,318,172,0.00
"GET","/api/cart/add/anonymous-34328/EVE-1/1",1,0,28,28,28,28,113,0.00
"GET","/api/cart/add/anonymous-34328/ROB-1/1",1,0,320,324,324,324,183,0.00
"GET","/api/cart/add/anonymous-34329/K9/1",1,0,33,33,33,33,92,0.00
"GET","/api/cart/add/anonymous-34329/ROB-1/1",1,0,320,320,320,320,163,0.00
"GET","/api/cart/add/anonymous-34330/K9/1",1,0,27,27,27,27,92,0.00
"GET","/api/cart/add/anonymous-34330/RD-10/1",1,0,260,255,255,255,176,0.00
"GET","/api/cart/add/anonymous-34331/RD-10/1",1,0,260,260,260,260,164,0.00
"GET","/api/cart/add/anonymous-34331/STAN-1/1",1,0,28,28,28,28,110,0.00
"GET","/api/cart/add/anonymous-34332/HAL-1/1",1,0,28,28,28,28,102,0.00
"GET","/api/cart/add/anonymous-34332/RD-10/1",1,0,260,261,261,261,181,0.00
"GET","/api/cart/add/anonymous-34333/EVE-1/1",1,0,44,44,44,44,113,0.00
"GET","/api/cart/add/anonymous-34333/ROB-1/1",1,0,21,21,21,21,183,0.00
"GET","/api/cart/add/anonymous-34334/C3P0/1",1,0,380,384,384,384,164,0.00
"GET","/api/cart/add/anonymous-34334/R2D2/1",1,0,38,38,38,38,115,0.00
"GET","/api/cart/add/anonymous-34335/R2D2/1",1,0,33,33,33,33,115,0.00
"GET","/api/cart/add/anonymous-34335/STAN-1/1",1,0,380,375,375,375,179,0.00
"GET","/api/cart/add/anonymous-34336/RD-10/1",1,0,180,178,178,178,164,0.00
"GET","/api/cart/add/anonymous-34336/STAN-1/1",1,0,44,44,44,44,110,0.00
"GET","/api/cart/add/anonymous-34337/EVE-1/1",1,0,380,376,376,376,178,0.00
"GET","/api/cart/add/anonymous-34337/STAN-1/1",1,0,91,91,91,91,110,0.00
"GET","/api/cart/add/anonymous-34338/K9/1",1,0,140,137,137,137,92,0.00
